order,iter,seg
0,188,101
1,189,119
2,190,130
3,191,98
4,192,144
5,193,129
6,194,117
7,195,136
8,196,120
9,197,124
10,198,155
11,199,77
12,200,137
13,201,115
14,202,104
15,203,98
16,204,117
17,205,118
18,206,129
19,207,127
20,208,109
21,209,130
22,210,149
23,211,145
24,212,123
25,213,140
26,214,163
27,215,123
28,216,143
29,217,139
30,218,137
31,219,118
32,220,147
33,221,88
34,222,120
35,223,99
36,224,135
37,225,135
38,226,120
39,227,129
40,228,170
41,229,99
42,230,90
43,231,104
44,232,150
45,233,77
46,234,100
47,235,157
48,236,167
49,237,200
50,238,182
51,239,196
52,240,203
53,241,192
54,242,327
55,243,202
56,244,326
57,245,313
58,246,321
59,247,345
60,248,241
61,249,250
62,250,244
63,251,249
64,252,235
65,253,250
66,254,261
67,255,252
68,256,342
69,257,261
70,258,257
71,259,334
72,260,256
73,261,244
74,262,276
75,263,352
76,264,269
77,265,284
78,266,362
79,267,269
80,268,239
81,269,271
82,270,350
83,271,341
84,272,352
85,273,335
86,274,345
87,275,347
88,276,261
89,277,287
90,278,281
91,279,277
92,280,265
93,281,283
94,282,247
95,283,259
96,284,233
97,285,237
98,286,260
99,287,251
100,288,353
101,289,287
102,290,280
103,291,238
104,292,254
105,293,251
106,294,262
107,295,282
108,296,270
109,297,252
110,298,257
111,299,268
112,300,298
113,301,275
114,302,289
115,303,275
116,304,292
117,305,299
118,306,273
119,307,286
120,308,311
121,309,283
122,310,297
123,311,293
124,312,297
125,313,300
126,314,313
127,315,303
128,316,306
129,317,293
130,318,332
131,319,298
