index,origin,path_cluster,weight
0,nomon,3,7.078700e-59
1,nomon,3,7.078700e-59
2,nomon,3,1.601154e-62
3,nomon,3,1.601154e-62
4,nomon,3,6.404617e-62
5,nomon,3,6.174068e-79
6,nomon,3,2.561847e-61
7,nomon,3,2.221838e-58
8,nomon,3,7.334416e-78
9,nomon,3,2.933766e-77
10,nomon,3,3.211421e-77
11,nomon,3,4.099122e-60
12,nomon,3,1.095158e-57
13,nomon,3,5.192915e-78
14,nomon,3,6.011821e-60
15,nomon,3,6.449994e-58
16,nomon,3,1.213982e-60
17,nomon,3,1.192602e-60
18,nomon,3,5.518976e-74
19,nomon,3,9.674992e-58
20,nomon,3,2.404729e-59
21,nomon,3,2.404729e-59
22,nomon,3,6.449994e-58
23,nomon,3,6.449994e-58
24,nomon,3,9.618914e-59
25,nomon,3,1.908162e-59
26,nomon,3,4.886734e-58
27,nomon,3,8.144556e-59
28,nomon,3,3.837424e-76
29,nomon,3,3.837424e-76
30,nomon,3,1.534970e-75
31,nomon,3,9.994897e-73
32,nomon,3,1.249362e-73
33,nomon,3,1.249362e-73
34,nomon,3,1.998979e-72
35,nomon,3,4.997448e-73
36,nomon,3,4.997448e-73
37,nomon,3,2.498724e-73
38,nomon,3,9.994897e-73
39,nomon,3,9.994897e-73
40,nomon,3,9.994897e-73
41,nomon,3,2.495724e-75
42,nomon,3,2.495724e-75
43,nomon,3,5.635650e-57
44,nomon,3,3.565726e-57
45,nomon,3,9.982897e-75
46,nomon,3,9.982897e-75
47,nomon,3,6.396734e-71
48,nomon,3,6.396734e-71
49,nomon,3,6.396734e-71
50,nomon,3,3.993159e-74
51,nomon,3,6.779222e-57
52,nomon,3,6.959287e-58
53,nomon,3,4.444708e-61
54,nomon,3,1.815281e-56
55,nomon,3,3.004769e-57
56,nomon,3,3.004769e-57
57,nomon,3,3.004769e-57
58,nomon,3,1.201908e-56
59,nomon,3,1.201908e-56
60,nomon,2,5.423420e-57
61,nomon,2,8.717267e-58
62,nomon,2,2.767185e-57
63,nomon,2,2.767185e-57
64,nomon,2,2.767185e-57
65,nomon,2,2.750505e-56
66,nomon,2,1.270583e-57
67,nomon,2,1.270583e-57
68,nomon,2,8.470553e-58
69,nomon,3,1.646414e-58
70,nomon,3,2.401251e-71
71,nomon,2,6.886799e-57
72,nomon,2,6.886864e-57
73,nomon,2,6.886799e-57
74,nomon,2,1.906986e-56
75,nomon,2,4.486995e-57
76,nomon,2,4.487125e-57
77,nomon,2,4.486995e-57
78,nomon,2,9.541238e-58
79,nomon,2,1.143525e-56
80,nomon,2,1.143525e-56
81,nomon,2,1.143525e-56
82,nomon,3,3.956885e-58
83,nomon,3,3.956885e-58
84,nomon,3,1.582754e-57
85,nomon,3,1.582754e-57
86,nomon,3,1.585061e-57
87,nomon,3,4.227505e-57
88,nomon,3,5.788100e-61
89,nomon,3,2.315240e-60
90,nomon,3,5.064813e-56
91,nomon,3,2.315240e-60
92,nomon,3,2.256078e-67
93,nomon,3,2.256078e-67
94,nomon,3,4.630480e-60
95,nomon,3,1.852223e-59
96,nomon,3,1.852192e-59
97,nomon,3,1.476467e-58
98,nomon,3,1.476467e-58
99,nomon,3,7.408768e-59
100,nomon,3,2.214701e-58
101,nomon,3,2.963507e-58
102,nomon,3,2.963507e-58
103,nomon,3,6.160596e-64
104,nomon,3,2.952934e-58
105,nomon,3,3.234723e-57
106,nomon,3,3.234723e-57
