state_id,char,kind,rmsd_bin,ene_bin,dist_bin,n_nomon,n_wmon
0,'Ā',bound,,,,,
1,'ā',unbound,,,,,
286,'Ȟ',grid,6.00-7.50,56.62-79.93,2.40-3.60,10,0
334,'Ɏ',grid,7.50-8.10,10.00-33.31,2.40-3.60,1,0
335,'ɏ',grid,7.50-8.10,10.00-33.31,3.60-4.80,10,67
340,'ɔ',grid,7.50-8.10,33.31-56.62,2.40-3.60,3,0
341,'ɕ',grid,7.50-8.10,33.31-56.62,3.60-4.80,0,27
346,'ɚ',grid,7.50-8.10,56.62-79.93,2.40-3.60,20,0
347,'ɛ',grid,7.50-8.10,56.62-79.93,3.60-4.80,21,0
390,'ʆ',grid,8.10-8.70,-31.73-10.00,4.80-6.00,0,1
394,'ʊ',grid,8.10-8.70,10.00-33.31,2.40-3.60,0,64
395,'ʋ',grid,8.10-8.70,10.00-33.31,3.60-4.80,10,187
396,'ʌ',grid,8.10-8.70,10.00-33.31,4.80-6.00,2,66
400,'ʐ',grid,8.10-8.70,33.31-56.62,2.40-3.60,21,0
401,'ʑ',grid,8.10-8.70,33.31-56.62,3.60-4.80,46,69
402,'ʒ',grid,8.10-8.70,33.31-56.62,4.80-6.00,1,14
405,'ʕ',grid,8.10-8.70,56.62-79.93,1.20-2.40,20,0
406,'ʖ',grid,8.10-8.70,56.62-79.93,2.40-3.60,39,0
407,'ʗ',grid,8.10-8.70,56.62-79.93,3.60-4.80,26,0
408,'ʘ',grid,8.10-8.70,56.62-79.93,4.80-6.00,2,0
412,'ʜ',grid,8.10-8.70,79.93-103.24,2.40-3.60,1,0
413,'ʝ',grid,8.10-8.70,79.93-103.24,3.60-4.80,3,0
454,'ˆ',grid,8.70-9.30,10.00-33.31,2.40-3.60,10,1
455,'ˇ',grid,8.70-9.30,10.00-33.31,3.60-4.80,27,131
456,'ˈ',grid,8.70-9.30,10.00-33.31,4.80-6.00,5,30
460,'ˌ',grid,8.70-9.30,33.31-56.62,2.40-3.60,20,355
461,'ˍ',grid,8.70-9.30,33.31-56.62,3.60-4.80,59,27
462,'ˎ',grid,8.70-9.30,33.31-56.62,4.80-6.00,15,0
466,'˒',grid,8.70-9.30,56.62-79.93,2.40-3.60,0,888
467,'˓',grid,8.70-9.30,56.62-79.93,3.60-4.80,29,0
468,'˔',grid,8.70-9.30,56.62-79.93,4.80-6.00,17,0
473,'˙',grid,8.70-9.30,79.93-103.24,3.60-4.80,15,0
502,'˶',grid,9.30-9.90,-73.46--31.73,2.40-3.60,0,42
503,'˷',grid,9.30-9.90,-73.46--31.73,3.60-4.80,0,21
508,'˼',grid,9.30-9.90,-31.73-10.00,2.40-3.60,0,16
509,'˽',grid,9.30-9.90,-31.73-10.00,3.60-4.80,1,0
510,'˾',grid,9.30-9.90,-31.73-10.00,4.80-6.00,1,0
511,'˿',grid,9.30-9.90,-31.73-10.00,>6.00,0,1
513,'́',grid,9.30-9.90,10.00-33.31,1.20-2.40,20,1
514,'̂',grid,9.30-9.90,10.00-33.31,2.40-3.60,25,4
515,'̃',grid,9.30-9.90,10.00-33.31,3.60-4.80,44,72
516,'̄',grid,9.30-9.90,10.00-33.31,4.80-6.00,7,30
519,'̇',grid,9.30-9.90,33.31-56.62,1.20-2.40,35,0
520,'̈',grid,9.30-9.90,33.31-56.62,2.40-3.60,43,222
521,'̉',grid,9.30-9.90,33.31-56.62,3.60-4.80,36,44
522,'̊',grid,9.30-9.90,33.31-56.62,4.80-6.00,14,0
525,'̍',grid,9.30-9.90,56.62-79.93,1.20-2.40,0,555
526,'̎',grid,9.30-9.90,56.62-79.93,2.40-3.60,22,999
527,'̏',grid,9.30-9.90,56.62-79.93,3.60-4.80,23,0
528,'̐',grid,9.30-9.90,56.62-79.93,4.80-6.00,10,0
531,'̓',grid,9.30-9.90,79.93-103.24,1.20-2.40,0,111
532,'̔',grid,9.30-9.90,79.93-103.24,2.40-3.60,0,333
533,'̕',grid,9.30-9.90,79.93-103.24,3.60-4.80,18,0
562,'̲',grid,9.90-10.50,-73.46--31.73,2.40-3.60,6,21
569,'̹',grid,9.90-10.50,-31.73-10.00,3.60-4.80,0,1
570,'̺',grid,9.90-10.50,-31.73-10.00,4.80-6.00,2,0
574,'̾',grid,9.90-10.50,10.00-33.31,2.40-3.60,471,16
575,'̿',grid,9.90-10.50,10.00-33.31,3.60-4.80,14,35
576,'̀',grid,9.90-10.50,10.00-33.31,4.80-6.00,5,57
579,'̓',grid,9.90-10.50,33.31-56.62,1.20-2.40,233,112
580,'̈́',grid,9.90-10.50,33.31-56.62,2.40-3.60,2,223
581,'ͅ',grid,9.90-10.50,33.31-56.62,3.60-4.80,28,22
582,'͆',grid,9.90-10.50,33.31-56.62,4.80-6.00,16,33
585,'͉',grid,9.90-10.50,56.62-79.93,1.20-2.40,0,333
586,'͊',grid,9.90-10.50,56.62-79.93,2.40-3.60,0,940
587,'͋',grid,9.90-10.50,56.62-79.93,3.60-4.80,22,0
588,'͌',grid,9.90-10.50,56.62-79.93,4.80-6.00,25,0
591,'͏',grid,9.90-10.50,79.93-103.24,1.20-2.40,0,248
592,'͐',grid,9.90-10.50,79.93-103.24,2.40-3.60,238,444
593,'͑',grid,9.90-10.50,79.93-103.24,3.60-4.80,2,0
603,'͛',grid,>10.50,-198.65--156.92,1.20-2.40,28,0
604,'͜',grid,>10.50,-198.65--156.92,2.40-3.60,182,0
605,'͝',grid,>10.50,-198.65--156.92,3.60-4.80,45,0
609,'͡',grid,>10.50,-156.92--115.19,1.20-2.40,55,30
610,'͢',grid,>10.50,-156.92--115.19,2.40-3.60,238,433
611,'ͣ',grid,>10.50,-156.92--115.19,3.60-4.80,198,186
612,'ͤ',grid,>10.50,-156.92--115.19,4.80-6.00,52,54
