cond,cluster,scheme,n_move,ess,built,n_paths
nomon,0,pooled,230833,889.4760841101975,True,500
nomon,0,weighted,230833,889.4760841101975,True,500
nomon,1,pooled,4392,26.85099175678111,True,500
nomon,1,weighted,4392,26.85099175678111,True,500
nomon,2,pooled,61175,17018.949967853307,True,500
nomon,2,weighted,61175,17018.949967853307,True,500
nomon,3,pooled,39215,533.3953401337832,True,500
nomon,3,weighted,39215,533.3953401337832,True,500
nomon,4,pooled,14023,206.91207809763225,True,500
nomon,4,weighted,14023,206.91207809763225,True,500
nomon,5,pooled,157356,5665.766221136058,True,500
nomon,5,weighted,157356,5665.766221136058,True,500
wmon,0,pooled,137776,1.0,True,500
wmon,0,weighted,137776,1.0,True,500
wmon,1,pooled,5707,22.12383095678778,True,500
wmon,1,weighted,5707,22.12383095678778,True,500
wmon,2,pooled,50484,20657.592876012954,True,500
wmon,2,weighted,50484,20657.592876012954,True,500
wmon,3,pooled,77127,1.0000159235073363,True,500
wmon,3,weighted,77127,1.0000159235073363,True,500
wmon,4,pooled,22026,125.95549096029457,True,500
wmon,4,weighted,22026,125.95549096029457,True,500
wmon,5,pooled,74844,638.7343493445401,True,500
wmon,5,weighted,74844,638.7343493445401,True,500
