order,iter,seg
0,274,149
1,275,207
2,276,150
3,277,211
4,278,210
5,279,210
6,280,152
7,281,169
8,282,156
9,283,160
10,284,168
11,285,160
12,286,165
13,287,167
14,288,177
15,289,183
16,290,218
17,291,172
18,292,202
19,293,219
20,294,197
21,295,235
22,296,202
23,297,242
24,298,159
25,299,217
26,300,237
27,301,201
28,302,217
29,303,198
30,304,227
31,305,259
32,306,234
33,307,235
34,308,175
35,309,270
36,310,277
37,311,257
38,312,248
39,313,323
40,314,259
41,315,263
42,316,240
43,317,273
44,318,275
45,319,240
46,320,1
47,321,233
48,322,301
49,323,221
50,324,229
51,325,253
52,326,243
53,327,233
54,328,339
55,329,230
56,330,343
57,331,243
58,332,235
59,333,260
60,334,280
61,335,308
62,336,290
63,337,265
64,338,272
65,339,261
66,340,275
67,341,248
68,342,216
69,343,248
70,344,246
71,345,271
72,346,257
73,347,302
74,348,267
75,349,253
76,350,229
77,351,261
78,352,262
79,353,236
80,354,246
81,355,257
82,356,240
83,357,219
84,358,243
85,359,285
86,360,243
87,361,253
88,362,310
89,363,250
90,364,264
91,365,283
92,366,266
93,367,251
94,368,260
95,369,278
96,370,266
97,371,248
98,372,255
99,373,255
100,374,248
101,375,258
102,376,229
103,377,270
104,378,257
105,379,253
106,380,251
107,381,233
108,382,240
109,383,248
110,384,266
111,385,243
112,386,241
113,387,242
114,388,265
115,389,248
116,390,245
117,391,263
118,392,268
119,393,263
120,394,263
121,395,263
122,396,285
123,397,252
124,398,260
125,399,251
126,400,252
127,401,269
128,402,251
129,403,266
130,404,183
131,405,257
132,406,246
133,407,237
134,408,261
135,409,275
136,410,281
137,411,249
138,412,225
139,413,236
140,414,294
141,415,258
142,416,271
143,417,297
144,418,281
145,419,304
146,420,264
147,421,269
148,422,250
149,423,260
150,424,278
151,425,291
152,426,260
153,427,303
154,428,257
155,429,237
156,430,240
157,431,259
158,432,248
159,433,264
160,434,287
161,435,163
162,436,255
163,437,293
164,438,139
165,439,282
166,440,280
167,441,304
168,442,316
169,443,302
170,444,299
171,445,297
172,446,255
173,447,283
174,448,255
175,449,267
176,450,283
177,451,264
178,452,267
179,453,256
180,454,258
181,455,262
182,456,257
183,457,251
184,458,263
185,459,257
186,460,258
187,461,293
