order,iter,seg
0,181,126
1,182,139
2,183,99
3,184,140
4,185,189
5,186,187
6,187,175
7,188,172
8,189,174
9,190,200
10,191,170
11,192,188
12,193,189
13,194,194
14,195,171
15,196,174
16,197,191
17,198,164
18,199,166
19,200,203
20,201,196
21,202,202
22,203,208
23,204,219
24,205,216
25,206,287
26,207,302
27,208,187
28,209,265
29,210,296
30,211,316
31,212,272
32,213,269
33,214,261
34,215,257
35,216,247
36,217,240
37,218,242
38,219,259
39,220,252
40,221,293
41,222,254
42,223,253
43,224,239
44,225,239
45,226,261
46,227,265
47,228,253
48,229,204
49,230,205
50,231,211
51,232,195
52,233,217
53,234,232
54,235,261
55,236,253
56,237,250
57,238,267
58,239,251
59,240,250
60,241,288
61,242,250
62,243,262
63,244,247
64,245,238
65,246,261
66,247,304
67,248,253
68,249,256
69,250,274
70,251,260
71,252,254
72,253,256
73,254,269
74,255,265
75,256,260
76,257,267
77,258,270
78,259,268
79,260,270
80,261,241
81,262,290
82,263,289
83,264,279
84,265,317
85,266,296
86,267,305
87,268,280
88,269,307
89,270,314
90,271,304
91,272,293
92,273,289
93,274,310
94,275,293
95,276,299
96,277,310
97,278,298
98,279,287
99,280,329
100,281,309
101,282,294
102,283,280
103,284,268
104,285,299
105,286,301
106,287,312
107,288,318
108,289,309
